State, 8589934592, STATE, 1.716080, 1.716560, 0.000480, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.716717, 1.717183, 0.000466, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.717341, 1.717821, 0.000480, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.717976, 1.718407, 0.000431, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.718564, 1.719771, 0.001207, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.719927, 1.720438, 0.000511, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.720592, 1.721044, 0.000452, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.721200, 1.721593, 0.000393, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.721750, 1.722150, 0.000400, 11.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.722345, 2.245190, 0.522845, 11.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.723394, 1.784475, 0.061081, 12.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.724209, 1.784306, 0.060097, 13.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.724492, 1.725820, 0.001328, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.726004, 1.726504, 0.000500, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.726673, 1.727062, 0.000389, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.727228, 1.727706, 0.000478, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.727862, 1.728388, 0.000526, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.728546, 1.729029, 0.000483, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.729185, 1.730432, 0.001247, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.730589, 1.730984, 0.000395, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.731143, 1.731617, 0.000474, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.731828, 1.732336, 0.000508, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.732494, 1.732967, 0.000473, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.733121, 1.734439, 0.001318, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.734594, 1.734990, 0.000396, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.735145, 1.735625, 0.000480, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.735781, 1.736314, 0.000533, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.736469, 1.736946, 0.000477, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.737104, 1.738368, 0.001264, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.738529, 1.739003, 0.000474, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.739195, 1.739589, 0.000394, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.739742, 1.740214, 0.000472, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.740371, 1.740875, 0.000504, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.741057, 1.741543, 0.000486, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.741699, 1.742886, 0.001187, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.743044, 1.743478, 0.000434, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.743633, 1.744154, 0.000521, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.744332, 1.744838, 0.000506, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.744997, 1.745469, 0.000472, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.745659, 1.746926, 0.001267, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.748004, 1.748530, 0.000526, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.748690, 1.749154, 0.000464, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.749308, 1.749728, 0.000420, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.749885, 1.750309, 0.000424, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.750466, 1.751731, 0.001265, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.751889, 1.752344, 0.000455, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.752503, 1.752942, 0.000439, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.753096, 1.753486, 0.000390, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.753675, 1.784121, 0.030446, 14.000000, !$omp taskwait @floorplan.c:584 <8>
State, 8589934592, STATE, 1.755422, 1.756894, 0.001472, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.757461, 1.757900, 0.000439, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.758276, 1.758653, 0.000377, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.758949, 1.759466, 0.000517, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.759831, 1.760283, 0.000452, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.760640, 1.761048, 0.000408, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.761395, 1.761802, 0.000407, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.762151, 1.762555, 0.000404, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.762922, 1.763356, 0.000434, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.763741, 1.764119, 0.000378, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.764475, 1.764852, 0.000377, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.765232, 1.765611, 0.000379, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.765982, 1.766387, 0.000405, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.766741, 1.767246, 0.000505, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.767613, 1.768033, 0.000420, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.768361, 1.768761, 0.000400, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.769076, 1.769473, 0.000397, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.769787, 1.770184, 0.000397, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.770515, 1.770885, 0.000370, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.771227, 1.771597, 0.000370, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.771959, 1.772333, 0.000374, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.772677, 1.773060, 0.000383, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.773390, 1.773766, 0.000376, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.774122, 1.774505, 0.000383, 15.000000, !$omp task @floorplan.c:530 <4>
