Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, 8589934592, STATE, 3.468978, 3.469485, 0.000507, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.469644, 3.470172, 0.000528, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.470325, 3.470853, 0.000528, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.471008, 3.471533, 0.000525, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.471760, 3.472325, 0.000565, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.472480, 3.472988, 0.000508, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.473146, 3.473660, 0.000514, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.473818, 3.474320, 0.000502, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.474475, 3.474915, 0.000440, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.475073, 3.475553, 0.000480, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.475712, 3.476190, 0.000478, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.476380, 3.476864, 0.000484, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.477020, 3.477506, 0.000486, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.477659, 3.478262, 0.000603, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.478418, 3.478913, 0.000495, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.479071, 3.479581, 0.000510, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.479736, 3.480234, 0.000498, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.480389, 3.480879, 0.000490, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.481060, 3.481556, 0.000496, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.481710, 3.482220, 0.000510, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.482377, 3.482882, 0.000505, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.483039, 3.483493, 0.000454, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.483650, 3.485316, 0.001666, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.485496, 3.486041, 0.000545, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.486199, 3.486711, 0.000512, 8.000000, !$omp create task @tied-floorplan.c:530 <3>
State, 8589934592, STATE, 3.486893, 3.511467, 0.024574, 8.000000, !$omp taskwait @tied-floorplan.c:584 <8>
State, 8589934592, STATE, 3.488712, 3.489379, 0.000667, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.489876, 3.490339, 0.000463, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.490737, 3.491182, 0.000445, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.491544, 3.492025, 0.000481, 9.000000, !$omp task @tied-floorplan.c:530 <4>
